date,user,message,only_date,year,month_num,month,day,day_name,hour,minute,period
2021-12-22 23:28:00,group_notification,"Messages and calls are end-to-end encrypted. No one outside of this chat, not even WhatsApp, can read or listen to them. Tap to learn more.
",2021-12-22,2021,12,December,22,Wednesday,23,28,23-00
2021-12-22 23:28:00,group_notification,"You created group ""Chutiyapa gang😂""
",2021-12-22,2021,12,December,22,Wednesday,23,28,23-00
2021-12-22 23:28:00,group_notification,"Sharu👻 joined using this group's invite link
",2021-12-22,2021,12,December,22,Wednesday,23,28,23-00
2021-12-22 23:29:00,Sharu👻,"Bana hi liya matlab 😂
",2021-12-22,2021,12,December,22,Wednesday,23,29,23-00
2021-12-22 23:29:00,Rashi,"Haa 😂😂
",2021-12-22,2021,12,December,22,Wednesday,23,29,23-00
2021-12-22 23:29:00,Rashi,"Kiti saa time lagla
",2021-12-22,2021,12,December,22,Wednesday,23,29,23-00
2021-12-22 23:29:00,Sharu👻,"Hmmmm
",2021-12-22,2021,12,December,22,Wednesday,23,29,23-00
2021-12-22 23:32:00,Mahek 👽💀,"Wtf is this grup??
",2021-12-22,2021,12,December,22,Wednesday,23,32,23-00
2021-12-22 23:33:00,Samiksha 🤡,"😂😂bas hai chutiyapa krne keliye
",2021-12-22,2021,12,December,22,Wednesday,23,33,23-00
2021-12-22 23:34:00,Mahek 👽💀,"Karo karo
",2021-12-22,2021,12,December,22,Wednesday,23,34,23-00
2021-12-22 23:34:00,Adwait Ruia,"gaali chalta hai na idhar 😂
",2021-12-22,2021,12,December,22,Wednesday,23,34,23-00
2021-12-22 23:35:00,Sharu👻,"Jab tak offline milega nahin tab tak no
",2021-12-22,2021,12,December,22,Wednesday,23,35,23-00
2021-12-22 23:36:00,Rashi,"Aisa naa bolo🥲😭
",2021-12-22,2021,12,December,22,Wednesday,23,36,23-00
2021-12-22 23:36:00,Sharu👻,"Abey tu de na

Sirf uske liye tha wo 😂
",2021-12-22,2021,12,December,22,Wednesday,23,36,23-00
2021-12-22 23:37:00,Rashi,"<Media omitted>
",2021-12-22,2021,12,December,22,Wednesday,23,37,23-00
2021-12-22 23:39:00,Adwait Ruia,"Aree yaar🥲🥲
",2021-12-22,2021,12,December,22,Wednesday,23,39,23-00
2021-12-22 23:40:00,Sharu👻,"Haan toh...
Sirf baat karta hai tu ol
",2021-12-22,2021,12,December,22,Wednesday,23,40,23-00
2021-12-22 23:40:00,Sharu👻,"Mil fir dekhte hai
",2021-12-22,2021,12,December,22,Wednesday,23,40,23-00
2021-12-22 23:45:00,group_notification,"Sharu👻 changed this group's icon
",2021-12-22,2021,12,December,22,Wednesday,23,45,23-00
2021-12-22 23:46:00,Adwait Ruia,"Are 3 shaadiya hai re 24 27 28 sab haldi barath mein jaana hai nahi toh kal pakka ata 🤦🏻‍♂️
",2021-12-22,2021,12,December,22,Wednesday,23,46,23-00
2021-12-22 23:47:00,Sharu👻,"Gm
",2021-12-22,2021,12,December,22,Wednesday,23,47,23-00
2021-12-22 23:48:00,Adwait Ruia,"🥲🥲
",2021-12-22,2021,12,December,22,Wednesday,23,48,23-00
2021-12-22 23:48:00,Mahek 👽💀,"Aaa pagal sharvinnnnn
",2021-12-22,2021,12,December,22,Wednesday,23,48,23-00
2021-12-22 23:48:00,Mahek 👽💀,"Dp acha lagra hai 😂
",2021-12-22,2021,12,December,22,Wednesday,23,48,23-00
2021-12-22 23:50:00,Adwait Ruia,"sabse batli rashi hai na class mein
",2021-12-22,2021,12,December,22,Wednesday,23,50,23-00
2021-12-22 23:51:00,Rashi,"Naii samiksha hai
",2021-12-22,2021,12,December,22,Wednesday,23,51,23-00
2021-12-22 23:51:00,Adwait Ruia,"ohh usse bhi
",2021-12-22,2021,12,December,22,Wednesday,23,51,23-00
2021-12-22 23:51:00,Rashi,"Me usse lambi hu
",2021-12-22,2021,12,December,22,Wednesday,23,51,23-00
2021-12-22 23:52:00,Adwait Ruia,"Kya hai tera 5'1 ?
",2021-12-22,2021,12,December,22,Wednesday,23,52,23-00
2021-12-22 23:53:00,Sharu👻,"Kya pucch raha hai tu?😂
",2021-12-22,2021,12,December,22,Wednesday,23,53,23-00
2021-12-22 23:53:00,Rashi,"Hoo
",2021-12-22,2021,12,December,22,Wednesday,23,53,23-00
2021-12-22 23:53:00,Adwait Ruia,"Bhai 5'1 body height hi ho sakti hai na aur kya hoga 😂😂😂😂😂
",2021-12-22,2021,12,December,22,Wednesday,23,53,23-00
2021-12-22 23:53:00,Adwait Ruia,"Perfection😎
",2021-12-22,2021,12,December,22,Wednesday,23,53,23-00
2021-12-22 23:53:00,Rashi,"Dick size tho itna hota bhi nhi hai😂
",2021-12-22,2021,12,December,22,Wednesday,23,53,23-00
2021-12-22 23:54:00,Adwait Ruia,"manan hoga na?
",2021-12-22,2021,12,December,22,Wednesday,23,54,23-00
2021-12-22 23:54:00,Sharu👻,"Unit laga re gandi

Inch agar likha toh 
Kuch aur bhi ho sakta hai 😂
",2021-12-22,2021,12,December,22,Wednesday,23,54,23-00
2021-12-22 23:54:00,Adwait Ruia,"You never know😏
",2021-12-22,2021,12,December,22,Wednesday,23,54,23-00
2021-12-22 23:54:00,Rashi,"Asa boltoys jasa ki tujhe pata hai kisika tho hai
",2021-12-22,2021,12,December,22,Wednesday,23,54,23-00
2021-12-22 23:55:00,Adwait Ruia,"sangitla asta sod 😂🤣
",2021-12-22,2021,12,December,22,Wednesday,23,55,23-00
